toward	[tɔːrdz]	к, по направлению к
successful	[səkˈsesfl]	успешный, преуспевающий
beam	[biːm]	луч, излучать
gold	[ɡoʊld]	золото, золотой
thing	[θɪŋ]	вещь, предмет
existence	[ɪɡˈzɪstəns]	существование, бытие
screen	[skriːn]	экран
sister	[ˈsɪstər]	сестра
mother	[ˈmʌðər]	мать
deal	[diːl]	дело, сделка, иметь дело
likely	[ˈlaɪkli]	вероятно, вероятный
population	[ˌpɑːpjuˈleɪʃn]	население, жители
country	[ˈkʌntri]	страна, провинция, сельский
date	[deɪt]	дата, день, датировать(ся)
restaurant	[ˈrest(ə)rɑːnt]	ресторан
figure	[ˈfɪɡjər]	фигура, внешний вид, изображать
beginning	[bɪˈɡɪnɪŋ]	начало
basketball	[ˈbæskɪtbɔːl]	баскетбол
dangerous	[ˈdeɪndʒərəs]	опасный
seriously	[ˈsɪriəsli]	серьезно, всерьез
effective	[ɪˈfektɪv]	эффективный
not	[nɑt]	не, нет
provide	[prəˈvaɪd]	снабжать, предоставлять
encourage	[ɪnˈkɜːrɪdʒ]	поощрять
translate	[trænsˈleɪt]	переводить
thirteen	[ˌθɜːrˈtiːn]	тринадцать
interrupt	[ˌɪntəˈrʌpt]	прерывать, перебивать
compete	[kəmˈpiːt]	соревноваться, конкурировать
say	[seɪ]	говорить, сказать
nor	[nɔːr]	ни
seek	[siːk]	искать, разыскивать
cover	[ˈkʌvər]	покрывать, накрывать, крышка
complain	[kəmˈpleɪn]	(по)жаловаться
modern	[ˈmɑːdərn]	современный
calm	[kɑːm]	спокойный, тихий, спокойствие
engineer	[ˌendʒɪˈnɪr]	инженер, механик, проектировать
play	[pleɪ]	играть, игра
announce	[əˈnaʊns]	объявлять, анонсировать
notice	[ˈnoʊtɪs]	замечать, внимание
movement	[ˈmuːvmənt]	движение
depth	[depθ]	глубина
record	[ˈrekərd]	запись, регистрация, записывать
wound	[wuːnd]	рана, ранить
pain	[peɪn]	боль, причинять боль
accept	[əkˈsept]	принимать, признавать
dinner	[ˈdɪnər]	обед
sing	[sɪŋ]	петь
heaven	[ˈhevn]	небеса, небо
murder	[ˈmɜːrdər]	убийство, убивать
victim	[ˈvɪktɪm]	жертва
although	[ɔːlˈðoʊ]	хотя, несмотря на то, что
atom	[ˈætəm]	атом, мельчайшая частица
threaten	[ˈθretn]	угрожать
boring	[ˈbɔːrɪŋ]	скучный
crazy	[ˈkreɪzi]	сумасшедший, безумный, сумасшедший
vehicle	[ˈviːəkl]	автомобиль, транспортное средство
evening	[ˈiːvnɪŋ]	вечер
bury	[ˈberi]	хоронить, закапывать
total	[ˈtoʊtl]	весь, полный, сумма
exist	[ɪɡˈzɪst]	существовать, быть
excuse	[n - ɪkˈskjuːs, v - ɪkˈskjuːz]	извинять(ся), извинение
brother	[ˈbrʌðər]	брат
seem	[siːm]	казаться, представляться
soft	[sɔːft]	мягкий
industry	[ˈɪndəstri]	индустрия, промышленность
option	[ˈɑːpʃn]	вариант, выбор
quiet	[ˈkwaɪət]	тихий, тишина
final	[ˈfaɪnl]	финальный, последний
silly	[ˈsɪli]	глупый
institution	[ˌɪnstɪˈtuːʃn]	учреждение, организация
bed	[bed]	кровать, укладывать спать
repeat	[rɪˈpiːt]	повторять
swallow	[ˈswɑːloʊ]	глотать, глоток
every	[ˈevri]	каждый, любой
politics	[ˈpɑːlətɪks]	политика
union	[ˈjuːniən]	союз, объединение
noun	[naʊn]	существительное
blue	[bluː]	синий, голубой, синий цвет
recently	[ˈriːsntli]	недавно
tendency	[ˈtendənsi]	тенденция, склонность
rush	[rʌʃ]	торопить(ся), мчаться, спешка
row	[roʊ]	ряд, строка, грести
favorite	[ˈfeɪvərɪt]	любимый, фаворит
artificial	[ˌɑːrtɪˈfɪʃl]	искусственный
expect	[ɪkˈspekt]	ждать, ожидать
outdoor	[ˈaʊtdɔːr]	наружный, внешний
knot	[nɑːt]	узел, завязывать узел
law	[lɔː]	закон, право
engine	[ˈendʒɪn]	двигатель, машина
soldier	[ˈsoʊldʒər]	солдат
there	[ðer]	там, туда
similar	[ˈsɪmələr]	похожий, сходный
curl	[kɜːrl]	локон, завиток, виться
juice	[dʒuːs]	сок
on	[ɔːn, ɑːn]	на
threat	[θret]	угроза
best	[best]	самое лучшее, лучший
contain	[kənˈteɪn]	содержать, сдерживать
doubt	[daʊt]	сомнение, сомневаться
belief	[bɪˈliːf]	вера, убеждение
within	[wɪˈðɪn]	внутри, в рамках
severe	[sɪˈvɪr]	суровый, серьезный
key	[kiː]	ключ, клавиша, ключевой
entrance	[ˈentrəns]	вход
interesting	[ˈɪntrəstɪŋ]	интересный
scale	[skeɪl]	шкала, масштаб
bag	[bæɡ]	сумка, мешок
poem	[ˈpoʊəm]	стихотворение
board	[bɔːrd]	доска
space	[speɪs]	пространство, космос, оставлять промежутки
rapid	[ˈræpɪd]	быстрый, скорый
wait	[weɪt]	ждать, ожидание
thanks	[θæŋks]	спасибо, благодарность
cheat	[tʃiːt]	жульничать, обманывать, мошенничество
female	[ˈfiːmeɪl]	женщина, женский
body	[ˈbɑːdi]	тело, туловище
object	[ˈɑːbdʒɪkt]	объект, предмет, возражать
war	[wɔːr]	война
nothing	[ˈnʌθɪŋ]	ничто, ничто
base	[beɪs]	основа, базис, базировать
tent	[tent]	палатка
mile	[maɪl]	миля, 1609 метров
sun	[sʌn]	солнце
tear	[n - tɪr, v - ter]	рвать(ся), разрывать(ся), слеза
technical	[ˈteknɪkl]	технический
traffic	[ˈtræfɪk]	трафик, движение
stamp	[stæmp]	штамп, печать, штамповать
sand	[sænd]	песок
tea	[tiː]	чай
bank	[bæŋk]	банк, берег (реки), банковский
prince	[prɪns]	принц, князь
pretty	[ˈprɪti]	симпатичный, хорошенький, довольно
someone	[ˈsʌmwʌn]	кто-то, кто-нибудь
sail	[seɪl]	плавать (под парусом), совершать плавание, парус
nineteen	[ˌnaɪnˈtiːn]	девятнадцать
Wednesday	[ˈwenzd(e)ɪ]	среда
have	[həv, hæv]	иметь, обладать
nowhere	[ˈnoʊwer]	нигде, никуда
invitation	[ˌɪnvɪˈteɪʃn]	приглашение
employee	[ɪmˈplɔɪiː]	сотрудник, работник
liquid	[ˈlɪkwɪd]	жидкость, жидкий
rule	[ruːl]	правило, править
since	[sɪns]	с, с тех пор
practice	[ˈpræktɪs]	практика, практиковаться
authority	[əˈθɔːrəti]	власть, органы власти
season	[ˈsiːzn]	сезон, время года
sympathy	[ˈsɪmpəθi]	симпатия, сочувствие
angle	[ˈæŋɡl]	угол
familiar	[fəˈmɪliər]	знакомый, привычный
this	[ðɪs]	этот, это
cheap	[tʃiːp]	дешевый, недорогой, дешево
prevent	[prɪˈvent]	предотвращать
tense	[tens]	напряженный, натянутый, грамматическое время
affect	[əˈfekt]	влиять, затрагивать
imagine	[ɪˈmædʒɪn]	воображать, представлять
sensible	[ˈsensəbl]	разумный, здравомыслящий
fun	[fʌn]	веселье, веселый
seven	[ˈsevn]	семь, семерка
absolutely	[ˈæbsəluːtli]	абсолютно, совершенно
light	[laɪt]	светить, освещать, свет
silver	[ˈsɪlvər]	серебро, серебряный
suggest	[sə(ɡ)ˈdʒest]	предлагать, советовать
let	[let]	позволять, разрешать
fear	[fɪr]	страх, боязнь, страшиться
able	[ˈeɪbl]	способный, обладающий способностью
fire	[ˈfaɪər]	огонь, пожар, стрелять
shut	[ʃʌt]	закрывать(ся), запирать(ся)
floor	[flɔːr]	пол, этаж
lot	[lɑːt]	много, уйма, намного
waist	[weɪst]	талия
neat	[niːt]	опрятный, чистый
peaceful	[ˈpiːsfl]	мирный, спокойный
bowl	[boʊl]	кубок, чаша
fit	[fɪt]	подходить, соответствовать, в хорошей форме
side	[saɪd]	сторона, боковой
pour	[pɔːr]	лить(ся), наливать
important	[ɪmˈpɔːrtnt]	важный, значительный
royal	[ˈrɔɪəl]	королевский, царский
shelter	[ˈʃeltər]	приют, укрытие, приютить
deliver	[dɪˈlɪvər]	доставлять
book	[bʊk]	книга, бронировать
foot	[fʊt]	ступня
motor	[ˈmoʊtər]	мотор, двигатель
significant	[sɪɡˈnɪfɪkənt]	значительный, существенный
door	[dɔːr]	дверь
shake	[ʃeɪk]	трясти, встряска
influence	[ˈɪnfluəns]	влияние, влиять
after	[ˈæftər]	после, за, после того как
attempt	[əˈtempt]	попытка, покушение, пытаться
when	[wen]	когда, когда
mass	[mæs]	масса, массовый
add	[æd]	прибавлять, присоединять
village	[ˈvɪlɪdʒ]	деревня
shot	[ʃɑːt]	выстрел, кадр
famous	[ˈfeɪməs]	известный, знаменитый
theater	[ˈθiːətər]	театр
eighteen	[ˌeɪˈtiːn]	восемнадцать
drive	[draɪv]	ехать, вести, езда
crush	[krʌʃ]	(раз)давить, дробить
connect	[kəˈnekt]	соединять, подключать
room	[ruːm]	комната, пространство
realize	[ˈriəlaɪz]	реализовать, понимать
October	[ɑːkˈtoʊbər]	октябрь
upon	[əˈpɔːn, əˈpɑːn]	на
white	[waɪt]	белый, белый цвет
paint	[peɪnt]	краска, рисовать (красками)
agreement	[əˈɡriːmənt]	соглашение, договор
six	[sɪks]	шесть
